"city_name","lat","lon","country_name","country_code"
"Los Angeles","34.0522342","-118.2436849","USA","us"
"San Francisco","37.7749295","-122.41941550000001","USA","us"
"Washington, D.C","38.9071923","-77.03687070000001","USA","us"
"Chicago","41.8781136","-87.62979819999998","USA","us"
"San Diego","32.715738","-117.16108380000003","USA","us"
"Milan","45.4642035","9.189981999999986","Italy","it"
"Québec City","46.8138783","-71.2079809","Canada","ca"
"Miami","25.7616798","-80.19179020000001","USA","us"
"Houston","29.7604267","-95.3698028","USA","us"
"Boston","42.3600825","-71.05888010000001","USA","us"
"Austin","30.267153","-97.74306079999997","USA","us"
"Nashville","36.1626638","-86.78160159999999","USA","us"
"Las Vegas","36.1699412","-115.13982959999998","USA","us"
"Orlando","28.5383355","-81.37923649999999","USA","us"
"Philadelphia","39.9525839","-75.16522150000003","USA","us"
"Atlanta","33.7489954","-84.3879824","USA","us"
"Belfast","54.597285","-5.930119999999988","Northern Ireland","gb"
"Honolulu","21.3069444","-157.85833330000003","USA","us"
"New Orleans","29.9510658","-90.0715323","USA","us"
"Montreal","45.5016889","-73.56725599999999","Canada","ca"
"Vancouver","49.2827291","-123.12073750000002","Canada","ca"
"Ottawa","45.4215296","-75.69719309999999","Canada","ca"
"Calgary","51.0486151","-114.0708459","Canada","ca"
"Edmonton","53.544389","-113.49092669999999","Canada","ca"
"Winnipeg","49.895136","-97.13837439999998","Canada","ca"
"Halifax","44.6487635","-63.5752387","Canada","ca"
"Mexico City","19.4326077","-99.13320799999997","Mexico","mx"
"Sao Paulo","-23.5505199","-46.63330940000003","Brazil","br"
"Buenos Aires","-34.6036844","-58.381559100000004","Argentina","ar"
"Rio de Janeiro","-22.9068467","-43.17289649999998","Brazil","br"
"Santiago","-33.4488897","-70.6692655","Chile","cl"
"Bogota","4.6113265660641884","-74.08024591540527","Colombia","co"
"Lima","-12.0463731","-77.042754","Peru","pe"
"London","51.5073509","-0.12775829999998223","England","gb"
"Madrid","40.4167754","-3.7037901999999576","Spain","es"
"Prague","50.0755381","14.43780049999998","Czech Republic","cz"
"Amsterdam","52.3702157","4.895167899999933","Netherlands","nl"
"Warsaw","52.2296756","21.012228700000037","Poland","pl"
"Vienna","48.2081743","16.37381890000006","Austria","at"
"Venice","45.4408474","12.31551509999997","Italy","it"
"Dublin","53.3498053","-6.260309699999993","Republic of Ireland","irl"
"Florence","43.7695604","11.25581360000001","Italy","it"
"Kiev","50.4501","30.523400000000038","Ukraine","ua"
"Moscow","55.755826","37.617299900000035","Russia","ru"
"St. Petersburg","59.9342802","30.335098600000038","Russia","ru"
"Bucharest","44.4267674","26.102538399999958","Romania","ro"
"Budapest","47.497912","19.04023499999994","Hungary","hu"
"Hamburg","53.5510846","9.993681899999956","Germany","de"
"Sofia","42.6977082","23.321867500000053","Bulgaria","bg"
"Brussels","50.8503463","4.351721099999963","Belgium","be"
"Copenhagen","55.6760968","12.568337199999974","Denmark","dk"
"Helsinki","60.1698557","24.93837910000002","Finland","fn"
"Oslo","59.9138688","10.752245399999993","Norway","no"
"Reykjavik","64.1265206","-21.817439199999967","Iceland","is"
"Stockholm","59.3293235","18.068580800000063","Sweden","se"
"Bergen","60.3912628","5.32205440000007","Norway","no"
"Zürich","47.3768866","8.541694000000007","Switzerland","ch"
"Geneva","46.2043907","6.143157699999961","Switzerland","ch"
"Lisbon","38.7222524","-9.139336599999979","Portugal","pt"
"Tokyo","35.6894875","139.69170639999993","Japan","jp"
"Osaka","34.6937378","135.50216509999996","Japan","jp"
"Kyoto","35.0116363","135.76802939999993","Japan","jp"
"Taipei","25.0329694","121.56541770000001","Taiwan","tw"
"Hong Kong","22.279407212944253","114.16236875683603","Hong kong","hk"
"Beijing","39.9041999","116.40739630000007","China","cn"
"Shanghai","31.2303904","121.47370209999997","China","cn"
"Singapore","1.352083","103.81983600000001","Singapore","sg"
"Bangkok","13.7563309","100.50176510000006","Thailand","th"
"Kuala Lumpur","3.139003","101.68685499999992","Malaysia","my"
"Seoul","37.566535","126.97796919999996","South Korea","kr"
"Delhi","28.7040592","77.10249020000003","India","in"
"Jakarta","-6.17511","106.86503949999997","Indonesia","id"
"Manila","14.5995124","120.9842195","Philippines","ph"
"Melbourne","-37.8136276","144.96305759999996","Australia","au"
"Sydney","-33.8688197","151.20929550000005","Australia","au"
"Brisbane","-27.4697707","153.02512350000006","Australia","au"
"Auckland","-36.8484597","174.76333150000005","New Zealand","nz"
"Wellington","-41.2864603","174.77623600000004","New Zealand","nz"
"Dubai","25.2048493","55.270782800000006","United Arab Emirates","ae"
"Marrakech","31.6294723","-7.981084499999952","Morocco","ma"
"Cairo","30.0444196","31.23571160000006","Egypt","eg"
"Tel Aviv","32.0852999","34.78176759999997","Israel","il"
"Haifa","32.7940463","34.98957100000007","Israel","il"
"Beirut","33.8937913","35.50177669999994","Lebanon","lb"
"Charleston","32.7764749","-79.93105120000001","USA","us"
"Denver","39.7392358","-104.990251","USA","us"
"Memphis","35.1495343","-90.0489801","USA","us"
"San Antonio","29.4241219","-98.49362819999999","USA","us"
"Savannah","32.0835407","-81.09983420000003","USA","us"
"Cape Town","-33.9248685","18.424055299999964","South Africa","za"
"Perth","-31.9505269","115.86045719999993","Australia","au"
"Dubrovnik","42.6506606","18.09442379999996","Croatia","hr"
"Havana","23.1135925","-82.36659559999998","Cuba","cu"
"Naples","40.8517746","14.268124400000033","Italy","it"
"Istanbul","41.0082376","28.97835889999999","Turkey","tr"
"Paris","48.856614","2.3522219000000177","France","fr"
"Barcelona","41.3850639","2.1734034999999494","Spain","es"
"Rome","41.9027835","12.496365500000024","Italy","it"
"Ankara","39.9315134","32.8443449","Turkey","tr"
"Asheville","35.595084","-82.551459","USA","us"
"Dallas","32.776186","-96.797343","USA","us"
"Phoenix","33.4271475","-112.1470351","USA","us"
"Anaheim","33.835293","-117.914505","USA","us"
"St. Louis","38.6270","-90.1994","USA","us"
"Tampa","27.9506","-82.4572","USA","us"
"Seattle","47.6062","-122.3321","USA","us"
"Indianapolis","39.7684","-86.1581","USA","us"
"Detroit","42.3314","-83.0458","USA","us"
"Kansas City","39.0997","-94.5786","USA","us"
"Charlotte","35.2271","-80.8431","USA","us"
"Baltimore","39.2904","-76.6122","USA","us"
"Portland","45.5122","-122.6587","USA","us"
"Santa Fe","35.6870","-105.9378","USA","us"
"Louisville","38.2527","-85.7585","USA","us"
"Niagara Falls","43.0896","-79.0849","Canada","ca"
